,Unnamed: 0,Ticker,Sector,Date,Year,Quarter,Earnings_url,Path,Trailing_eps
0,0,CEG,Utilities,2022-05-12,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/12/constellation-energy-corporation-ceg-q1-2022-earni/,/Users/gyf/Desktop/earning call analysis/CEG/2022/Q1/,0.0
1,1,DIS,Communication Services,2022-05-11,2022,Q2,https://www.fool.com/earnings/call-transcripts/2022/05/11/walt-disney-dis-q2-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/DIS/2022/Q2/,1.094
2,2,OXY,Energy,2022-05-11,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/11/occidental-petroleum-oxy-q1-2022-earnings-call-tra/,/Users/gyf/Desktop/earning call analysis/OXY/2022/Q1/,-1.212
3,3,WELL,Real Estate,2022-05-11,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/11/welltower-well-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/WELL/2022/Q1/,1.035
4,4,XRAY,Health Care,2022-05-11,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/11/dentsply-sirona-xray-q1-2022-earnings-call-transcr/,/Users/gyf/Desktop/earning call analysis/XRAY/2022/Q1/,1.902
5,5,EA,Communication Services,2022-05-11,2022,Q4,https://www.fool.com/earnings/call-transcripts/2022/05/11/electronic-arts-ea-q4-2022-earnings-call-transcrip/,/Users/gyf/Desktop/earning call analysis/EA/2022/Q4/,2.715
6,6,WYNN,Consumer Discretionary,2022-05-11,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/11/wynn-resorts-wynn-q1-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/WYNN/2022/Q1/,-7.588
7,7,SYY,Consumer Staples,2022-05-11,2022,Q3,https://www.fool.com/earnings/call-transcripts/2022/05/11/sysco-syy-q3-2022-earnings-call-transcript/,/Users/gyf/Desktop/earning call analysis/SYY/2022/Q3/,1.332
8,8,NCLH,Consumer Discretionary,2022-05-10,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/10/norwegian-cruise-line-holdings-nclh-q1-2022-earnin/,/Users/gyf/Desktop/earning call analysis/NCLH/2022/Q1/,-10.773
9,9,TDG,Industrials,2022-05-10,2022,Q2,https://www.fool.com/earnings/call-transcripts/2022/05/10/transdigm-group-tdg-q2-2022-earnings-call-transcri/,/Users/gyf/Desktop/earning call analysis/TDG/2022/Q2/,10.394
10,10,SPG,Real Estate,2022-05-10,2022,Q1,https://www.fool.com/earnings/call-transcripts/2022/05/10/simon-property-group-spg-q1-2022-earnings-call-tra/,/Users/gyf/Desktop/earning call analysis/SPG/2022/Q1/,6.177
