,Ticker,Sector,Date,Year,Quarter,Forward_pe,Trailing_pe,Trailing_eps,Market_cap,Target,svd_1,svd_2,svd_3,svd_4,f_k,g_f,d_c,spache,neg_vader,neu_vader,pos_vader,sent_TB,Litigious,Positive,WeakModal,Uncertainty,StrongModal,Negative,Constraining,Target_Class
0,CEG,7,2022-05-12,2,1.0,13.589928,0.0,0.0,18487896064.0,2.1320354659109997,0.0184954668810736,0.0198012618224374,0.0692721515468672,-0.0153586112815167,-0.859721640553452,-0.7701956361391155,-1.996037762622357,-1.0765906552188944,0.046,0.657,0.296,0.1782823415561511,0.8504436644961402,0.7610987599608817,0.7407741365360686,1.837935080745421,0.08573767038439928,1.5087950463843718,0.5449980649005607,0
1,DIS,6,2022-05-11,2,2.0,20.804348,96.014626,1.094,191619678208.0,-0.8554334509178099,0.016908506555895,-0.0047371140713226,-0.0032578120632799,-0.0089681630689835,0.09300374204855211,-0.14754098590702336,0.061527332384573453,0.14442156388383684,0.025,0.716,0.259,0.1530534652263625,-0.07068660418149483,-0.07454722705395658,1.2663688847150862,-0.142743173081862,1.1051794828818295,-0.27346224732142216,-0.6636780248437839,0
2,OXY,10,2022-05-11,2,1.0,23.434483,0.0,-1.212,63466573824.0,-1.46422175667257,0.0263221368452868,0.0351891706506938,0.0333838060703786,-0.002105635741487,0.13691468282220867,0.40686406483083953,-0.2578249770922528,0.0248114838998218,0.066,0.689,0.245,0.1482226531184865,-0.023449154505718675,-0.07454722705395658,-0.6608118586079786,0.04893536761110088,-0.1691227827399583,-0.6053308468390528,-0.6281287280865974,0
3,WELL,1,2022-05-11,2,1.0,88.05445,85.8744,1.035,40325980160.0,0.10346473099827,0.0247245633812595,0.0036650555395668,0.0080878581578941,-0.0174916988984008,-0.31346758685592907,-0.053678200271638866,-0.5948561316326945,-0.4116058078762204,0.031,0.685,0.285,0.1246505335749522,0.7087313154688117,0.3844695827147574,0.3903776377500568,0.4961852958946809,2.6343422016279754,0.5869378255020645,0.11840650381432144,0
4,XRAY,11,2022-05-11,2,1.0,12.023511,20.152473,1.902,8243193344.0,0.45116286509679004,0.0275200202273156,-0.0233267774157637,0.0020078659774448,0.034355823664522,-0.490780917069293,-0.31178768659103356,-0.04678596177190372,-0.7826315431010324,0.043,0.668,0.29,0.1156167509738938,-0.023449154505718675,0.3609302591368746,-0.48561360921497276,0.30450675520171805,-0.6788436889886734,1.2383835949255617,-0.1659878702431714,0
5,EA,6,2022-05-11,2,4.0,16.911022,46.78453,2.715,35824873472.0,0.38177366804566,0.0204427625116321,-0.0252201820378816,0.001615287991293,-0.0233787357698681,-1.3030869109948868,-1.2855711137527135,-1.140647323994051,-0.8314593902747935,0.009,0.691,0.301,0.1631008658008658,-0.5666798257771445,-0.69833930186785,0.5655758871430627,-0.43026098412130626,-0.1691227827399583,-0.7159537133449296,-0.9480723989012768,0
6,WYNN,3,2022-05-11,2,1.0,-156.41463,0.0,-7.588,7414801920.0,-0.49277333619235,0.0181680419643694,0.0006151129278923,0.0132905843221018,-0.0264051984876541,-1.0824922430925186,-1.1882941458118284,-0.9836840870334203,-1.1002135162429199,0.027,0.71,0.264,0.116596610235003,-1.1571479467243464,-1.286822391314919,-0.8360101080009846,-0.9733501827513678,-0.42398323586431585,-0.888033727909627,-1.1258188826872098,0
7,SYY,4,2022-05-11,2,3.0,20.061758,63.333332,1.332,43071102976.0,-1.72495478272108,0.0298735635765402,-0.0086753248964152,0.0065843623500873,0.031572585176154,-0.6982266746373623,-0.6061061403680961,-0.9617755576775351,-0.9517321469366958,0.031,0.662,0.306,0.1164715410685805,1.0157747383613567,1.3378121876190094,0.5655758871430627,-0.07885032618420769,0.850319029757472,0.5623549662785363,-0.37928365078629106,0
8,NCLH,3,2022-05-10,2,1.0,-807.75006,0.0,-10.773,6743334912.0,-4.87352901170389,0.0209638531947538,0.0093718710289573,0.034623084344943,-0.0057380855213738,0.11926161296824803,0.26215587157406,-0.7499840004751905,-0.3055568902122489,0.036,0.713,0.251,0.1315603135603136,1.6534803089843348,0.5845538331267609,0.039981138964044954,0.2725603317528909,0.08573767038439928,1.2260921653137975,0.616096658414934,-1
9,TDG,5,2022-05-10,2,2.0,25.91856,52.63325,10.394,29815963648.0,0.80001931601474,0.0243469761529653,-0.0047719104960593,0.0035455786599976,0.0014293399679454,-0.5271475694435116,-0.3116565847862058,-0.6815704204261338,-0.7998200920659518,0.044,0.737,0.219,0.0690310272332744,0.16550064419738594,-0.23932249209913595,0.7407741365360686,-0.23858244342834342,-0.1691227827399583,-0.08909080314496072,0.22505439408588127,0
