,neg_vader,neu_vader,pos_vader,sent_TB,Litigious,Positive,WeakModal,Uncertainty,StrongModal,Negative,Constraining,Path
0,0.046,0.657,0.296,0.17828234155615116,136,249,9,111,4,297,67,/Users/gyf/Desktop/earning call analysis/CEG/2022/Q1/
1,0.025,0.716,0.259,0.1530534652263625,97,178,12,49,8,152,33,/Users/gyf/Desktop/earning call analysis/DIS/2022/Q2/
2,0.066,0.689,0.245,0.14822265311848656,99,178,1,55,3,125,34,/Users/gyf/Desktop/earning call analysis/OXY/2022/Q1/
3,0.031,0.685,0.285,0.12465053357495227,130,217,7,69,14,222,55,/Users/gyf/Desktop/earning call analysis/WELL/2022/Q1/
4,0.043,0.668,0.29,0.11561675097389382,99,215,2,63,1,275,47,/Users/gyf/Desktop/earning call analysis/XRAY/2022/Q1/
5,0.009,0.691,0.301,0.16310086580086589,76,125,8,40,3,116,25,/Users/gyf/Desktop/earning call analysis/EA/2022/Q4/
6,0.027,0.71,0.264,0.11659661023500303,51,75,0,23,2,102,20,/Users/gyf/Desktop/earning call analysis/WYNN/2022/Q1/
7,0.031,0.662,0.306,0.11647154106858056,143,298,8,51,7,220,41,/Users/gyf/Desktop/earning call analysis/SYY/2022/Q3/
8,0.036,0.713,0.251,0.13156031356031367,170,234,5,62,4,274,69,/Users/gyf/Desktop/earning call analysis/NCLH/2022/Q1/
9,0.044,0.737,0.219,0.06903102723327442,107,164,9,46,3,167,58,/Users/gyf/Desktop/earning call analysis/TDG/2022/Q2/
10,0.034,0.689,0.277,0.1715063795853269,39,73,0,13,2,44,18,/Users/gyf/Desktop/earning call analysis/SPG/2022/Q1/
11,0.066,0.741,0.193,0.1326326530612245,72,165,6,38,4,133,56,/Users/gyf/Desktop/earning call analysis/MCHP/2022/Q4/
12,0.029,0.673,0.298,0.1404477937964176,100,150,3,33,8,113,32,/Users/gyf/Desktop/earning call analysis/EOG/2022/Q1/
13,0.02,0.758,0.222,0.04695426833835134,148,167,8,73,1,213,75,/Users/gyf/Desktop/earning call analysis/D/2022/Q1/
14,0.033,0.67,0.296,0.1574663583272074,67,190,2,43,2,141,36,/Users/gyf/Desktop/earning call analysis/CI/2022/Q1/
15,0.048,0.682,0.27,0.12336832875154037,49,79,3,53,0,119,34,/Users/gyf/Desktop/earning call analysis/DVA/2022/Q1/
16,0.018,0.679,0.302,0.13842190704032803,102,132,4,35,3,109,26,/Users/gyf/Desktop/earning call analysis/PPL/2022/Q1/
17,0.054,0.717,0.229,0.1230550187989634,82,194,8,53,2,183,49,/Users/gyf/Desktop/earning call analysis/VRTX/2022/Q1/
18,0.018,0.708,0.274,0.08330540739022883,97,174,4,51,5,157,40,/Users/gyf/Desktop/earning call analysis/NLOK/2022/Q4/
19,0.04,0.687,0.273,0.09754158571087707,92,152,3,46,1,246,48,/Users/gyf/Desktop/earning call analysis/ZTS/2022/Q1/
20,0.027,0.707,0.266,0.11035804116831793,101,159,3,65,8,159,45,/Users/gyf/Desktop/earning call analysis/PENN/2022/Q1/
21,0.03,0.713,0.257,0.14582666666666663,55,112,2,45,0,113,33,/Users/gyf/Desktop/earning call analysis/O/2022/Q1/
